FileName,Type,Name,ReleaseDate,Eoas,Eol,Version,Date
amazon-linux,versions,2023.3.20240304.0,2024-03-12,,,,
amazon-linux,versions,2023.3.20240219.0,2024-02-26,,,,
amazon-linux,versions,2.0.20240223.0,2024-02-26,,,,
amazon-linux,versions,2023.3.20240131.0,2024-02-02,,,,
amazon-linux,versions,2.0.20240131.0,2024-02-02,,,,
amazon-linux,versions,2023.3.20240117.0,2024-01-20,,,,
amazon-linux,versions,2023.3.20240108.0,2024-01-12,,,,
amazon-linux,versions,2.0.20240109.0,2024-01-12,,,,
amazon-linux,versions,2023.3.20231218.0,2023-12-20,,,,
amazon-linux,versions,2.0.20231218.0,2023-12-20,,,,
amazon-linux,versions,2023.3.20231211.4,2023-12-15,,,,
amazon-linux,versions,2018.03.0.20231206.1,2023-12-15,,,,
amazon-linux,versions,2.0.20231206.0,2023-12-15,,,,
amazon-linux,versions,2023.2.20231113.0,2023-11-21,,,,
amazon-linux,versions,2018.03.0.20231106.0,2023-11-21,,,,
amazon-linux,versions,2.0.20231116.0,2023-11-21,,,,
amazon-linux,versions,2023.2.20231026.0,2023-11-03,,,,
amazon-linux,versions,2018.03.0.20231024.0,2023-11-03,,,,
amazon-linux,versions,2.0.20231101.0,2023-11-03,,,,
amazon-linux,versions,2023.2.20231018.2,2023-10-25,,,,
amazon-linux,versions,2018.03.0.20231002.0,2023-10-25,,,,
amazon-linux,versions,2.0.20231020.1,2023-10-25,,,,
amazon-linux,versions,2023.2.20231011.0,2023-10-12,,,,
amazon-linux,versions,2.0.20230926.0,2023-10-12,,,,
amazon-linux,versions,2023.2.20230920.1,2023-09-23,,,,
amazon-linux,versions,2018.03.0.20230905.0,2023-09-23,,,,
amazon-linux,versions,2.0.20230912.0,2023-09-23,,,,
amazon-linux,versions,2023.1.20230825.0,2023-08-29,,,,
amazon-linux,versions,2018.03.0.20230821.0,2023-08-29,,,,
amazon-linux,versions,2.0.20230822.0,2023-08-29,,,,
amazon-linux,versions,2023.1.20230809.0,2023-08-22,,,,
amazon-linux,versions,2018.03.0.20230807.0,2023-08-22,,,,
amazon-linux,versions,2.0.20230808.0,2023-08-22,,,,
amazon-linux,versions,2023.1.20230725.0,2023-08-07,,,,
amazon-linux,versions,2018.03.0.20230724.0,2023-08-07,,,,
amazon-linux,versions,2.0.20230727.0,2023-08-07,,,,
amazon-linux,versions,2023.1.20230719.0,2023-07-26,,,,
amazon-linux,versions,2018.03.0.20230718.0,2023-07-26,,,,
amazon-linux,versions,2.0.20230719.0,2023-07-26,,,,
amazon-linux,versions,2023.1.20230705.0,2023-07-13,,,,
amazon-linux,versions,2018.03.0.20230628.0,2023-07-13,,,,
amazon-linux,versions,2.0.20230628.0,2023-07-13,,,,
amazon-linux,versions,2023.0.20230614.0,2023-06-20,,,,
amazon-linux,versions,2018.03.0.20230607.0,2023-06-20,,,,
amazon-linux,versions,2.0.20230612.0,2023-06-20,,,,
amazon-linux,versions,2023.0.20230607.0,2023-06-12,,,,
amazon-linux,versions,2018.03.0.20230601.0,2023-06-12,,,,
amazon-linux,versions,2.0.20230530.0,2023-06-12,,,,
amazon-linux,versions,2023.0.20230517.1,2023-06-05,,,,
amazon-linux,versions,2018.03.0.20230515.0,2023-06-05,,,,
amazon-linux,versions,2.0.20230515.0,2023-06-05,,,,
amazon-linux,versions,2018.03.0.20230501.0,2023-05-13,,,,
amazon-linux,versions,2.0.20230504.1,2023-05-13,,,,
amazon-linux,versions,2023.0.20230503.0,2023-05-04,,,,
amazon-linux,versions,2018.03.0.20230419.0,2023-05-04,,,,
amazon-linux,versions,2.0.20230418.0,2023-05-04,,,,
amazon-linux,versions,2023.0.20230322.0,2023-03-28,,,,
amazon-linux,versions,2018.03.0.20230322.0,2023-03-28,,,,
amazon-linux,versions,2.0.20230320.0,2023-03-28,,,,
amazon-linux,versions,2023.0.20230315.0,2023-03-15,,,,
amazon-linux,versions,2023.0.20230308.0,2023-03-10,,,,
amazon-linux,versions,2018.03.0.20230306.1,2023-03-10,,,,
amazon-linux,versions,2.0.20230307.0,2023-03-10,,,,
amazon-linux,versions,2018.03.0.20230221.0,2023-03-02,,,,
amazon-linux,versions,2.0.20230221.0,2023-03-02,,,,
amazon-linux,versions,2023.0.20230222.1,2023-03-01,,,,
amazon-linux,versions,2.0.20230207.0,2023-02-16,,,,
amazon-linux,versions,2018.03.0.20230207.0,2023-02-10,,,,
amazon-linux,versions,2022.0.20230118.3,2023-02-02,,,,
amazon-linux,versions,2018.03.0.20230124.1,2023-02-01,,,,
amazon-linux,versions,2.0.20230119.1,2023-01-26,,,,
amazon-linux,versions,2022.0.20221207.4,2022-12-16,,,,
amazon-linux,versions,2018.03.0.20221209.1,2022-12-16,,,,
amazon-linux,versions,2.0.20221210.0,2022-12-16,,,,
amazon-linux,versions,2.0.20221103.3,2022-11-17,,,,
amazon-linux,versions,2018.03.0.20221018.0,2022-11-09,,,,
amazon-linux,versions,2022.0.20221101.0,2022-11-01,,,,
amazon-linux,versions,2022.0.20221019.4,2022-10-26,,,,
amazon-linux,versions,2.0.20221004.0,2022-10-26,,,,
amazon-linux,versions,2022.0.20221012.0,2022-10-18,,,,
amazon-linux,versions,2018.03.0.20220907.3,2022-10-18,,,,
amazon-linux,versions,2022.0.20220928.0,2022-10-04,,,,
amazon-linux,versions,2.0.20220912.1,2022-09-22,,,,
amazon-linux,versions,2022.0.20220831.1,2022-09-07,,,,
amazon-linux,versions,2022.0.20220824.0,2022-08-27,,,,
amazon-linux,versions,2.0.20220805.0,2022-08-26,,,,
amazon-linux,versions,2022.0.20220817.0,2022-08-25,,,,
amazon-linux,versions,2018.03.0.20220802.0,2022-08-25,,,,
amazon-linux,versions,2.0.20220719.0,2022-08-12,,,,
